EventDescription,FailedAssets,CauseTechnical,Category
On 6/1/19 at approx. 01:33 hrs a possum caused a flashover on the cable head structure on Buninyong Pole 89 (LIS 342). The possum fell to the ground and caused a small ground fire covering an area of approx. 3 sq metres. The CFA attended and extinguished the fire. There was no third party damage or injury.,Surge diverter,,Animal
"Civil contractor reported underground cable dug up, believed to be LV, 
On arrival crew found conduit broken but no wires exposed.
There was no fire, no reported injuries or third party property damage.
Contractor had a permit to work in place.",Services cable,,Dug up
E0008129 -  Pole fire reported and small grass fire in the area.,Pole top,Defective component,Lightning
Emergency services reported a pole and ground fire . The attending crew found that a pole fire had occurred on pole 1 and a grass fire of some 6 by 20 metres had occurred on the roadside grass. No injuries or direct damage was noted.,Pole (wood),Unknown technical factor,Pole
E0008397 - Krone box fire,Connection box,Electrical overload,Connection
"A passer-by reported vandalised UG pits at the incident location. 
Upon arrival, Powercor fault crew found that the street light cables had stolen. 
The UG pits/covers had been damaged. 
There were approx. 100m of 16mm cables from 7 light poles had been stolen. 
There was no fire, no reported injuries or third party property damage.",Services cable;Services pit,,Other
Customer was showering when she received an electric shock as she made simultaneous contact with her hand on the metal Shower Rose and her bare feet while standing on the wet shower base.,Service conductor;Aluminium twisted (grey),Corrosion,Connection
"Report of cables cut and stolen at incident location.
There was no fire no reported injuries or third party property damage.",Services cable;Services pit,,Other
"A resident contacted PAL  to advise that a steel URD lighting pole ( LIS 998192), within a walkway beside this house, had fallen to ground and electrical cables within the pole were exposed. 
Advised that the pole appeared rusted at the base and was now laying in the nature strip beside the pedestrian walkway.
There was no fire, no reported injuries or third party property damage.",Pole (steel),Corrosion,Pole
TE#179657 - Report from MFB advising wire down on Francis St. Fault crew advised that service to no. 75 Francis Street had burnt off at pole end and come down. Minor burn marks at base of pole.,Service conductor;Neutral screen,Age,OH Cable
E0018959 - Report of street light head on fire,Public lighting,Defective component,AF Other
"Ms Natasa Tomic reported exposed underground cabling at LIS 828275, P/L pole near bus stop in Hume Rd.
A Powercor crew attended the site and noted pit lids lifted along Hume Rd once again. 
There was no fire, no reported injuries",Services cable;Services pit,,Other
"A pole fire reported at the incident location. 
Upon arrival, that the crew found HV cross arm burnt through. 
There were no injuries or ground fire. HVI damage was reported.",Conductor (bare);Crossarm (wood),Leakage,Crossarm
"A pole fire reported at the incident location.
HVI was found . 
There were no injuries or ground fire.",Crossarm (wood),Leakage,Crossarm
"A UE service crew attended site for an Abolishment appointment, and found the site under demolition and the meter had been run over by heavy equipment.",Other meter;Meter board (including fuses),,Vehicle
"At 02:58 hrs on 3 April, an incident occurred that caused multiple device reclose operations, and resulted in a small fire (approximately 8sq m) in a grassy pole line easement. The pole line consists of two HV feeders on the same pole with horizontal construction.",Conductor (bare),Conductor clashing,Conductor
"Mrs Corina Carmelo was showering when she received an electric shock as she made simultaneous contact between her hand on the shower tap and her bare feet while standing on the wet shower base.

Voltage tests between an independent earth and the metallic shower taps and water pipe system recorded a reading of 5.2 Volts. A voltage of up to 42.3 Volts was recorded with a increase of load to the installation using an electric Kettle. 

Further investigation confirmed the a broken Overhead Service Neutral Conductor, between the Reticulation Pole and  the Customer's Point of Attachment. 

TechSafe report is attached in the ""Notes & Findings"" section.",Service conductor,Neutral fault,OH Cable
Unknown person stole underground cable for street lighting,Cable,,Other
Customer called to advise that the UHF antenna of his tractor had clipped low HV whilst he was spraying his crop.  the attending crew found the HV cross-arm had burnt and the  conductor was sitting at about 2.5m above the ground.,Crossarm (wood),Leakage,Crossarm
